Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
BCCIdomestic,"Lunch break: Gujarat - 94/6 in 26.6 overs  (Piyush Chawla 11 off 15, Axar Patel 3 off 10) #GUJvKER @paytm #RanjiTrophy"
paytmbankcare,"@BhuvanArora Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wit… https://t.co/KxRzUoQDrG"
GanaSuffixInc,"Watching your success graph is the world’s best thing 
DM now
#suffixinc #sales #boost #digital #DigitalMarketing… https://t.co/8v936mKfQj"
aniltally02,@Paytmcare I am using Paytm fastag why you charge the 55 rupees amount extra I need to know why you charge the 55 r… https://t.co/jCQbx6Wjv6
LitharaHome,"Few hours left! Participate in the contest and win paytm cash, exciting gifts and offer!
Submit your answers here:… https://t.co/8gvcgAZiC2"
Paytmcare,"@sachink197 Hi, We have responded to your concern via query reference number 150697584, please check your Paytm app… https://t.co/gu9UbTyfXC"
ThePrintOTC,"Big Picture 
India is the biggest market for internet-based companies, Paytm founder Vijay Shekhar Sharma… https://t.co/Xt4j4Pikcr"
Abhishekvfx,@renusatti @vijayshekhar @paytmbankcare @ihmcl_official This is very serious issue team Paytm is not following comm… https://t.co/2LE4Db0qKl
DiVeSh_AGxD,@Paytm @Paytmcare @PaytmBank i ordered 2 fastags from paytm.they are not activated. i also shared my rc copies for… https://t.co/WjNlio2dv5
Abhishe18724875,"@zomatocare ZOMATOPTM code for paytm payments is not working for any restaurant! While applying, it mentions that i… https://t.co/uEgXBzYaVe"
singhania_mk,"@Paytm @Paytmcare @PaytmBank @PaytmMall @FASTag_NETC #Paytm #FASTag 
I ordered Paytm Fastag two times and trying to… https://t.co/dttnPMadOq"
shankulmisra,"@Paytmcare @paytm
@PaytmCybercell 
@PaytmMoney 
@dgpup
@igrangekanpur
@Uppolice 
@UP100 
@up100knd 
@Cybercellindia… https://t.co/azxXduB1aX"
paytmbankcare,@anubhavsays Hi Anubhav! We would like to inform you that Paytm KYC is free of cost service. Please do not pay any… https://t.co/eSrNZK01D1
shamitmankad,@ZomatoIN and @Paytmcare robbed me of my own money!  Amount was deducted by paytm upi and zomato is saying that we… https://t.co/2YmUD1TKAd
Rahul_14389,"@bluemountro In this, the boy wants to drink the healthy water from alkaline RO water purifier but not able to find… https://t.co/v14AgYvJ0t"
anishgarg85,"@Paytm i have already called Customer many time till date issue is not resolved. t visible in my Paytm wallet.
I ha… https://t.co/nOLL6UnZpN"
Voonik,@Ayaan16khan1 The amount can be transferred to paytm bank account details which include account number and IFSC cod… https://t.co/KiMaK10MFI
anishgarg85,"@Paytmcare i hv already called Customer many time till date issue is not resolved. t visible in my Paytm wallet.
I… https://t.co/Z2fSpitf3m"
SaveUcs,Paytm wallet add Money to Cash back https://t.co/N4tN4iA89m https://t.co/p0bDbg3ZEu
kamakshiRajput,"Contest 2020
Enjoy guaranteed payout via Paytm of Rs. 30/- for first 100 People to join each day till January 1st 2… https://t.co/MwD7qtKbfT"
subhendu_90,"@jagograhakjago @JagoGrahakJago_ @Paytm I have received reply from @Paytmcare one day back, but after sharing detai… https://t.co/pbQE4kyPOt"
BCCIdomestic,"Stumps Day 2: Himachal - 235/7 in 92.6 overs  (A P Vashisht 18 off 36, R R Dhawan 72 off 96) #KARvHP @paytm #RanjiTrophy"
Rayulu3,"@Paytmcare Hi there,I invited my friend to install paytm upi and she did her 1st transaction amount of Rs300 but I… https://t.co/8Y8fIylM75"
shibi_schr,@paytmbankcare I have also DM you again..kindly check for the same... regarding my NACH MANDATE..I have attached on… https://t.co/FqC8xEPx4W
subhendu_90,"@paytm @Paytmcare @jagograhakjago @consumerforum_ @IndiaConsumers no resolution yet from paytm, I am waiting for et… https://t.co/bixaeziu9R"
rajeev143babby,@Paytm my phone is hacked and I wanted to deactivate UPI transaction. When I tried it throws error. Even unable to change UPI PIN
BCCIdomestic,"Stumps Day 2: Uttar Pradesh - 222/3 in 69.6 overs  (Aksh Deep Nath 80 off 165, Mohammad Saif 41 off 107) #SAUvUP @paytm #RanjiTrophy"
slbhargav,@Paytmcare What's the ETA guys? No one called me or anything. I didn't receive 1 shred on email informing me that s… https://t.co/jWxg9d6sZh
DeeepFriedLife,"@anubhavsays @Paytm @vijayshekhar And no matter however we curse our sarkari babus n deptts, there is a hue of them… https://t.co/lnsReDQmnr"
Paytmcare,"@Freesoul_90 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. More… https://t.co/uEkLId4Pzx"
BCCIdomestic,"Stumps Day 2: Chhattisgarh - 131/3 in 46.6 overs  (Harpreet Singh Bhatia 59 off 107, Amandeep Khare 9 off 43) #MAHvCHH @paytm #RanjiTrophy"
sajlgarg,@paytmbankcare @paytmbankcare @Paytmcare @Paytm  Any updates?
vsdhume,@Paytm @Paytmcare Your customer care number 18001026480is busy from last 3 days which is disgusting. No one is responding from Paytm.
SKFilmsOfficial,"Fans make Christmas all the more special with their unending love for #Dabangg3

Book Tickets Now On:
BMS -… https://t.co/SIcM5lbk5o"
sunilpremts,@mayankdhingra @Paytm Yes time spent on Toll is down by 80% but the time @Paytm took to deliver it is endless and not a seamless experience.
Freesoul_90,@paytmbankcare @Paytm [1/2]my query as police officials are busy in maintaining situation and law and order at Jami… https://t.co/p06se0ohEa
paytmbankcare,"@javed_ack Hi Hamid! To update your mobile number in your account, follow these simple steps:

1. Login to Paytm ap… https://t.co/B29sN6Ng4R"
anubhavsays,"@DeeepFriedLife @Paytm @vijayshekhar Infact, if done in an authorised way, it is quite a desired service. Fastag av… https://t.co/oewYv8HyOI"
Freesoul_90,@paytmbankcare @Paytm it’s unfortunate that even after multiple frauds of Rs 15000 from my Paytm wallet I am really… https://t.co/fUYfF9nQ0d
ETTelecom,"ETTelecom | Payments banks like Paytm, Jio, Airtel see losses climb to Rs 626 crore in aggregate https://t.co/cQzthAysaX"
mobipayp2p,"Why Paytm, Ola, Flipkart, Jio shouldn't try to be WeChat of India - Quartz India https://t.co/e61sYoP7sS"
manojrajan393,You try to give a device which is used &amp; u charge ur customer for d entire month ? The device is faulty the replacm… https://t.co/wmmqrXUBjv
Abhishekvfx,@paytmbankcare @Paytmcare @ihmcl_official Can some sensible person at Team Paytm explain why was #FASTag not dispat… https://t.co/OdomzOEwnt
BCCIdomestic,"Stumps Day 2: Mumbai - 64/3 in 21.6 overs  (Surya 15 off 38, Ajinkya Rahane 3 off 45) #MUMvRLW @paytm #RanjiTrophy"
BCCIdomestic,"Stumps Day 2: Madhya Pradesh - 281/7 in 78.6 overs  (Mihir Hirwani 54 off 76, Avesh Khan 7 off 25) #MPvTN @paytm #RanjiTrophy"
SambariSanthosh,"Hi friends good evening
Today PAYTM KYC CENTRE
cantact me 9398374364 https://t.co/cVQfk5CFDU"
vsdhume,@Paytm @Paytmcare Is anyone looking into the fastag related queries?Fastag purchased from you is not at all working… https://t.co/QKzCGoVnmg
eTrafficLane,"Earn Money From Home, Best Part Time Job, Online earning app ,एप्प डाउनलोड करे और कमाये, Paytm Cash -… https://t.co/BLadLDpERz"
manojrajan393,We have been getting calls and all tht has happened is that only apologize &amp; since 11th of Dec ur device given was… https://t.co/QeKNVPoxi3
iKaushik365,"@bluemountro Ans:1)  PATH ""C""

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy… https://t.co/K1oD4a9CKd"
rishab_TW,@Paytm @Paytmcare Wanted to know is this AI or your staff is replying without using common sense.. https://t.co/qdwFKmBqpU
anubhavsays,"@DeeepFriedLife @Paytm @vijayshekhar Additionally, these kyc centres of Paytm are using this opportunity to earn ex… https://t.co/h04WakTnFp"
himanshu_vaid14,@BCCIdomestic @Paytm Most interesting match is Delhi vs Hyderabad and @StarSportsIndia doesn't televised it
cricviewmedia,@BCCIdomestic @Paytm ..well batted MIHIR HIRWANI
kcpediredla,"Don’t think a super app would work in India. But if it did, it would be an amazing opportunity. https://t.co/P6FoEwREvO"
paytmbankcare,"@aamoghh Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with so… https://t.co/AhDcSRiy5v"
pankaj22177,"Beware of PayTM KYC fraud. Got a call from Mobile No. 7679652637, asking me to complete KYC for PayTM. They will as… https://t.co/yACYltCss0"
Jyotiag28204208,"@bluemountro Ans 👉  PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy… https://t.co/I6eYn2ipv8"
Paytmcare,@TheNareshKumar_ Hi! We do not call or message anyone regarding such concern. This is not official communication fr… https://t.co/oBdTpxtKcV
NirajNirajagr,"@sanghaviharsh Harsh bhai 

We are ready to crowd fund 

Paytm / upi / Google pay / Bhim / phone pe"
AncientStock,"💯 New Year Premium Membership Started
♻️ Never Ever Offer for Xmas ☯️ and New Year 🔵
💸 We Accept Netbanking/UPI/Pay… https://t.co/QKeywltk7d"
abhinagpal84,"@Paytmcare @Paytm 
My father just got robbed off by a scammer who called for KYC and then we called the PAYTM to re… https://t.co/AMkFua1mR5"
Paytmcare,@shankulmisra Hi! We do not call or message anyone regarding such concern. This is not official communication from… https://t.co/vS912ndjIm
wriksen,"Ikkat handbag

Price: Rs 600

Size: 7 x 8 inches
Fabric: Ikkat cotton on PU

** Has a pearl design handle for  aest… https://t.co/ODJSM8krCL"
rajrn99,@BeingPractical @DunzoIt @bounceshare And @Paytm the money?!
Hisinghritesh,@upeidaofficial @CMOfficeUP @UPGovt @myogiadityanath @Satishmahanaup @AwasthiAwanishK @uppwdofficial @sengarlive… https://t.co/xU0bBZwROu
m_virmani,@rkjhain @Paytmcare @Paytm @vijayshekhar @gsinl With me. Money got debited from my paytm account when my phone was… https://t.co/rnFYrL8muD
KirtiAg51068213,@UberEats will never order from ubereats again and suggest everyone to the same..they deduct the amount from Paytm… https://t.co/lZLV1qr4mi
paytmbankcare,"@Subhash44462591 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays… https://t.co/NeUFZU1ORj"
Deepak11Y,Don't purchase @paytm fastag. Worst service.
m_virmani,@Paytmcare @vijayshekhar @RBI @Cybercellindia @ndtv @TOIIndiaNews  @nsitharaman  How can the money be debited from… https://t.co/5fxtPuDYqy
BCCIdomestic,"FIFTY: Mihir Hirwani brings up his fifty as Madhya Pradesh move past 280-run mark against Tamil Nadu. 👏

Follow it… https://t.co/XL1ce26X7r"
TheNareshKumar_,"@Paytm मुझे से सन्देश मेरे नंबर पर मिला है 
PAYTM
Dear paytm customer your KYC has been suspended.Paytm office pH 8… https://t.co/qDlq0fis0F"
shibi_schr,There is issue regarding my NACH MANDATE ..so for that I have done you a DM.. kindly revert back for the same..@Paytmcare @PaytmBank @Paytm
ovi_s18,@SidrahDP @LMusanghi 😂😂😂 you just roasted 'em. I mean the paytm wala guy 😉 https://t.co/pzhtkuf9vS
movieposter4you,"IT'S AN ENTERTAINMENT GALORE!
Ready to #MeetTheBatras tomorrow?😍 
Book your tickets now - https://t.co/mozXETegmP… https://t.co/9uxMOLuEZI"
BusinessApac,"5 revolutionising startup stories and their entrepreneurs 

#startups #startuper #Inspiration #Flipkart #oyo… https://t.co/wz51acMpMb"
Paytmcare,"@drmudita Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreove… https://t.co/bHwNk0rTFu"
BCCIdomestic,"End Innings: Gujarat - 210/10 in 60.4 overs  (S A Desai 0 off 13, C T Gaja 50 off 47) #GUJvKER @paytm #RanjiTrophy"
Hari65368707,"@SagarRV1 Sagar, is there a way where retailers can invest in start-ups like angel investors ?? Simply, can we inve… https://t.co/U7pi4zRAnm"
BCCIdomestic,"WICKET! Over: 60.4 S A Desai 0(13) ct Mohammed Azharuddeen b Warrier, Gujarat 210/10 #GUJvKER @paytm #RanjiTrophy"
Adil73678199,@PaytmMoney I want to convert my paytm debit card from rupay to visa  . What should I do for it?
shankulmisra,"@Paytm 
@Paytmcare 
I just received a call from 9064187319. Recieved a message too. They say my paytm has been susp… https://t.co/nu7FgZEymc"
drmudita,"@Paytm  @CyberDost 
Fake message please see the phone no. And do the needful 
Dear PAY2TM customer your pa2ytm K2YC… https://t.co/y69yUYT3Yp"
Paytmcare,"@ManishJindalJD Hi, we are keen to help. Kindly share your Paytm registered mobile number and transaction id via DM… https://t.co/8T33razew1"
nitin3500,"@paytmbankcare I have been hearing this since last 7 days, i dont think @Paytm has the capability to provide fastag… https://t.co/ecGm6Y9pNN"
Bollywo37423496,"It's raining stars for #GoodNewwz!
Book tickets now and witness the fun-filled laughter riot in cinemas tomorrow:… https://t.co/6dkzEB1TP4"
BCCIdomestic,"WICKET! Over: 84.3 A K Bains 6(16) ct B R Sharath b Koushik V, Himachal 205/7 #KARvHP @paytm #RanjiTrophy"
PaytmTickets,"It's raining stars for #GoodNewwz!
Book tickets now and witness the fun-filled laughter riot in cinemas tomorrow:… https://t.co/oan5QHc1d8"
DharmaMovies,"IT'S AN ENTERTAINMENT GALORE!
Ready to #MeetTheBatras tomorrow?😍 
Book your tickets now - https://t.co/DziPKUokzj… https://t.co/zfsStfrPCw"
pravithnair,"@Paytm Poor response from your support team. I have received my FastTag a week back but it is yet to be activated,… https://t.co/5YlbB6Bzql"
AmritSr42503507,@nitin_gadkari sir i have purchase fastag through paytm and they charge me for fastag issue which you said is to be… https://t.co/Y1NIU8giu7
BCCIdomestic,"Stumps Day 2: Tripura - 16/1 in 7.6 overs  (U U Bose 8 off 19, B B Ghosh 2 off 22) #SERvTPA @paytm #RanjiTrophy"
iqbal7588,@airtelbank Paytm service is more better than your service
pranayprem11,@Paytm Cheating customers by providing fastag. No option to enter RC details nd shitty customer support. Messaged n… https://t.co/NyclFFhYyI
PaytmMall,"With Hero Bikes the ride is always comfortable! Check out our range, book your ideal partner for every journey and… https://t.co/gIokMlaQGF"
Unbiased_minds,"@AkhilTarak99 First day only cash annaru, second day google pay and paytm kuda petti process smooth chesaru"
TamilCinemaAss1,"#AvaneSrimanNarayana from tomorrow

@Pushkara_M @SachinBRavi 

Book tickets here: https://t.co/uvXOsEusRS… https://t.co/IZP2FdCeID"
dnaManju,@ashoswai Is he in  a Maybach advertisement? Not surprised earlier he was in a paytm advertisement.
KumarKesto,I got this message by someone .Is this message send by you @Paytm @vijayshekhar https://t.co/7cjRN1NObA
BCCIdomestic,"Stumps Day 2: Mizoram - 30/4 in 10.6 overs  (Sailo 0 off 2, Pratik Desai 8 off 15) #CAMvCAP @paytm #RanjiTrophy"
Amod420,@BCCIdomestic @Paytm @rishid100 still batting ?
GetMukul,@GooglePayIndia your agents are NEVER available for verification. @Paytm is 100x better
Kaccha_nimbuu,@Paytm trying to contact customer care executive since 2 days. Raised a ticket regarding the issue but no response… https://t.co/lSpvjeKkWW
paytmbankcare,@JYBhavsar Hi! Paytm has not received the amount of Rs. 68.00 from your bank for order 99XXXXX28 as the transaction… https://t.co/3HTPeZY2vK
PaytmMoneyCare,"@_SendNews Dear Hrishikesh, Here is the link to blog https://t.co/dYL4IYrU87. Happy investing."
saputofhb,"@Paytmcare Here’s another message that came up: 

“Dear customer
    Your Paytm has been today hold KYC Aadhar pan… https://t.co/9lBSVlyn6m"
ManishJindalJD,"@airtelindia @Paytmcare 
 Recharged for ₹548 with Airtel App Via PAYTM.  Additional benefits said  ₹100 Cashback on… https://t.co/jKaOq2pcWc"
